path,color,type
./data/red_shoes/343.jpg,red,shoes
./data/brown_pants/76.jpg,brown,pants
./data/yellow_dress/000584.jpg,yellow,dress
./data/green_pants/39.jpg,green,pants
./data/black_shirt/51.jpg,black,shirt
./data/yellow_skirt/000124.jpg,yellow,skirt
./data/blue_shirt/580.jpg,blue,shirt
./data/black_shirt/449.jpg,black,shirt
./data/black_dress/20.jpg,black,dress
./data/black_shoes/645.jpg,black,shoes
./data/red_shirt/151.jpg,red,shirt
./data/yellow_dress/000304.jpg,yellow,dress
./data/white_dress/398.jpg,white,dress
./data/white_suit/000307.jpg,white,suit
./data/green_shoes/426.jpg,green,shoes
./data/white_shoes/150.jpg,white,shoes
./data/red_dress/496.jpg,red,dress
./data/silver_shoes/000443.jpg,silver,shoes
./data/white_shoes/289.jpg,white,shoes
./data/blue_pants/35.jpg,blue,pants
./data/green_suit/000219.jpg,green,suit
./data/black_pants/606.jpg,black,pants
./data/black_shirt/389.jpg,black,shirt
./data/silver_skirt/000326.jpg,silver,skirt
./data/silver_skirt/000353.jpg,silver,skirt
./data/brown_hoodie/000294.jpg,brown,hoodie
./data/white_dress/773.jpg,white,dress
./data/blue_pants/644.jpg,blue,pants
./data/blue_dress/117.jpg,blue,dress
./data/red_shoes/319.jpg,red,shoes
./data/red_dress/156.jpg,red,dress
./data/white_shoes/208.jpg,white,shoes
./data/green_shoes/266.jpg,green,shoes
./data/black_shirt/705.jpg,black,shirt
./data/black_shorts/60.jpg,black,shorts
./data/black_shirt/486.jpg,black,shirt
./data/red_shoes/607.jpg,red,shoes
./data/black_dress/43.jpg,black,dress
./data/brown_pants/211.jpg,brown,pants
./data/red_shirt/85.jpg,red,shirt
./data/brown_pants/153.jpg,brown,pants
./data/white_dress/743.jpg,white,dress
./data/white_dress/171.jpg,white,dress
./data/pink_hoodie/000410.jpg,pink,hoodie
./data/white_dress/255.jpg,white,dress
./data/red_shoes/223.jpg,red,shoes
./data/green_pants/139.jpg,green,pants
./data/white_shoes/83.jpg,white,shoes
./data/white_dress/362.jpg,white,dress
./data/red_shoes/461.jpg,red,shoes
./data/blue_dress/226.jpg,blue,dress
./data/white_shoes/553.jpg,white,shoes
./data/yellow_dress/000010.jpg,yellow,dress
./data/green_shoes/131.jpg,green,shoes
./data/black_shirt/103.jpg,black,shirt
./data/silver_skirt/000056.jpg,silver,skirt
./data/white_pants/259.jpg,white,pants
./data/blue_shoes/38.jpg,blue,shoes
./data/blue_shorts/19.jpg,blue,shorts
./data/green_suit/000023.jpg,green,suit
./data/black_shirt/332.jpg,black,shirt
./data/green_suit/000027.jpg,green,suit
./data/black_shorts/318.jpg,black,shorts
./data/green_shoes/167.jpg,green,shoes
./data/pink_skirt/000353.jpg,pink,skirt
./data/red_pants/114.jpg,red,pants
./data/white_suit/000072.jpg,white,suit
./data/black_dress/230.jpg,black,dress
./data/green_shoes/137.jpg,green,shoes
./data/blue_pants/547.jpg,blue,pants
./data/black_shoes/555.jpg,black,shoes
./data/black_dress/92.jpg,black,dress
./data/black_dress/331.jpg,black,dress
./data/red_hoodie/000207.jpg,red,hoodie
./data/red_shoes/258.jpg,red,shoes
./data/brown_shoes/150.jpg,brown,shoes
./data/brown_shoes/118.jpg,brown,shoes
./data/yellow_skirt/000408.jpg,yellow,skirt
./data/black_suit/000090.jpg,black,suit
./data/white_dress/71.jpg,white,dress
./data/blue_pants/240.jpg,blue,pants
./data/blue_pants/791.jpg,blue,pants
./data/brown_hoodie/000034.jpg,brown,hoodie
./data/pink_skirt/000397.jpg,pink,skirt
./data/red_dress/613.jpg,red,dress
./data/blue_shorts/160.jpg,blue,shorts
./data/black_pants/555.jpg,black,pants
./data/black_shirt/524.jpg,black,shirt
./data/red_hoodie/000145.jpg,red,hoodie
./data/blue_shoes/323.jpg,blue,shoes
./data/black_shoes/637.jpg,black,shoes
./data/pink_skirt/000171.jpg,pink,skirt
./data/black_pants/286.jpg,black,pants
./data/red_shirt/298.jpg,red,shirt
./data/green_shoes/454.jpg,green,shoes
./data/white_shorts/45.jpg,white,shorts
./data/blue_shorts/136.jpg,blue,shorts
./data/black_shirt/208.jpg,black,shirt
./data/blue_dress/37.jpg,blue,dress
./data/blue_dress/373.jpg,blue,dress
./data/white_shoes/434.jpg,white,shoes
./data/green_suit/000208.jpg,green,suit
./data/white_dress/354.jpg,white,dress
./data/blue_dress/448.jpg,blue,dress
./data/red_dress/278.jpg,red,dress
./data/black_dress/260.jpg,black,dress
./data/white_shoes/80.jpg,white,shoes
./data/black_suit/000281.jpg,black,suit
./data/red_dress/133.jpg,red,dress
./data/white_pants/230.jpg,white,pants
./data/pink_skirt/000434.jpg,pink,skirt
./data/black_pants/146.jpg,black,pants
./data/red_dress/368.jpg,red,dress
./data/silver_skirt/000094.jpg,silver,skirt
./data/brown_hoodie/000366.jpg,brown,hoodie
./data/red_hoodie/000059.jpg,red,hoodie
./data/black_shoes/298.jpg,black,shoes
./data/white_shorts/32.jpg,white,shorts
./data/white_shoes/231.jpg,white,shoes
./data/brown_shoes/83.jpg,brown,shoes
./data/black_shorts/104.jpg,black,shorts
./data/pink_pants/000138.jpg,pink,pants
./data/blue_pants/236.jpg,blue,pants
./data/green_shoes/178.jpg,green,shoes
./data/blue_shoes/63.jpg,blue,shoes
./data/yellow_shorts/000576.jpg,yellow,shorts
./data/white_dress/500.jpg,white,dress
./data/black_shirt/89.jpg,black,shirt
./data/yellow_skirt/000351.jpg,yellow,skirt
./data/green_shorts/132.jpg,green,shorts
./data/black_suit/000046.jpg,black,suit
./data/white_suit/000020.jpg,white,suit
./data/yellow_dress/000114.jpg,yellow,dress
./data/brown_pants/87.jpg,brown,pants
./data/black_pants/635.jpg,black,pants
./data/black_shorts/266.jpg,black,shorts
./data/pink_hoodie/000009.jpg,pink,hoodie
./data/black_shorts/14.jpg,black,shorts
./data/red_shoes/253.jpg,red,shoes
./data/pink_hoodie/000043.jpg,pink,hoodie
./data/green_shorts/36.jpg,green,shorts
./data/black_suit/000326.jpg,black,suit
./data/black_pants/229.jpg,black,pants
./data/blue_pants/582.jpg,blue,pants
./data/white_dress/454.jpg,white,dress
./data/blue_dress/104.jpg,blue,dress
./data/pink_skirt/000241.jpg,pink,skirt
./data/brown_shoes/347.jpg,brown,shoes
./data/white_pants/185.jpg,white,pants
./data/black_shoes/679.jpg,black,shoes
./data/pink_skirt/000450.jpg,pink,skirt
./data/green_pants/200.jpg,green,pants
./data/white_shoes/10.jpg,white,shoes
./data/red_dress/321.jpg,red,dress
./data/blue_shirt/494.jpg,blue,shirt
./data/pink_skirt/000334.jpg,pink,skirt
./data/black_shoes/638.jpg,black,shoes
./data/blue_shorts/51.jpg,blue,shorts
./data/red_pants/72.jpg,red,pants
./data/green_shoes/49.jpg,green,shoes
./data/white_dress/723.jpg,white,dress
./data/red_dress/403.jpg,red,dress
./data/yellow_dress/000536.jpg,yellow,dress
./data/black_suit/000357.jpg,black,suit
./data/red_hoodie/000405.jpg,red,hoodie
